file_name,caption
image_id_18691.wav,a few people sit on a dim transportation system 
image_id_24091.wav,a compact car with bicycles mounted on the roof 
image_id_25470.wav,a kitchen with brown cabinets tile backsplash and grey counters 
image_id_28149.wav,a bathroom with a tv near the mirror
image_id_28231.wav,a black car is near someone riding a bike 
image_id_31813.wav,a surfer riding his bike to the beach 
image_id_32275.wav,the vanity contains two sinks with a towel for each 
image_id_44816.wav,clean bathroom that is brightly colored and has a window
image_id_56972.wav,a bathroom in white has a cupboard above the sink 
image_id_72704.wav,a black cat making an angry face while sitting on the bathroom floor 
image_id_90359.wav,a man jumping his bicycle onto a bench 
image_id_101891.wav,bicycles cars and a trash can in a garage 
image_id_116100.wav,a panoramic view of a kitchen and all of its appliances 
image_id_122802.wav,a man standing in a kitchen with granite countertops 
image_id_124567.wav,a cat stuck in a car with a slightly opened window 
image_id_134754.wav,the two people are walking down the beach 
image_id_161657.wav,a modern bathroom contains many glass and tile pieces
image_id_174028.wav,a woman is shaving her face while sitting on a wooden bench 
image_id_187042.wav,a bike and a raft sit atop a boat on the water 
image_id_213532.wav,black and white image of two children paying attention 
image_id_226658.wav,two women preparing food in a kitchen one at the sink and one at the table
image_id_230843.wav,a young boy surfing in low waves 
image_id_231029.wav,the top of a kitchen cabinet covered with brass pots and pans 
image_id_257263.wav,a public restroom toilet has been photographed in sepia
image_id_266366.wav,the bathroom with a toilet has an interesting sink 
image_id_279672.wav,an herb that is in front of a toaster oven 
image_id_285579.wav,a person protected from the rain by their umbrella walks down the road 
image_id_293605.wav,two bicycles and a woman walking in front of a shop
image_id_299675.wav,a white square kitchen with tile floor that needs repairs 
image_id_302443.wav,several metal balls sit in the sand near a group of people 
image_id_314265.wav,"a toilet sink bathtub with shower mirror and cabinet
"
image_id_318556.wav,a very clean and well decorated empty bathroom
image_id_321194.wav,green tiled backsplash highlighted by low overhead lighting 
image_id_350235.wav,this is a pick-up game of shirts and skins basketball
image_id_360306.wav,a man working at a kitchen counter in a room illuminated by sunlight 
image_id_360334.wav,a man standing in the kitchen with his arms crossed
image_id_379340.wav,a graffiti-ed stop sign across the street from a red car 
image_id_385716.wav,lady carrying a purse walking along side a man 
image_id_389006.wav,a kitchen with a countertop that includes an apple phone 
image_id_465049.wav,a closeup of a red fire hydrant including the chains 
image_id_476220.wav,an empty kitchen with white and black appliances 
image_id_479495.wav,a bicycle is parked by a bench at night 
image_id_480489.wav,the sky is full of colorful kites along a mountain 
image_id_503598.wav,there is some pet food in the floor in an empty kitchen
image_id_513461.wav,a surfer a woman and a child walk on the beach 
image_id_515040.wav,seagulls flying overhead while trucks sit in a parking lot 
image_id_520049.wav,photo of a man riding an old styled bicycle near what appears to be the golden gate bridge 
image_id_524679.wav,a purple bus and a man dressed as a nun on a tall bicycle 
image_id_538480.wav,a sink and a toilet inside a small bathroom 
image_id_539984.wav,a brown horse is grazing grass near a red house 
